# Constructed from biom file
#OTU ID	60861-1-MI-109-H	60861-10-MI-335-H	60861-100-MI-219-H	60861-101-MI-166-H	60861-102-MI-160-H	60861-103-MI-131-H	60861-106-MI-090-H	60861-107-MI-001-H	60861-108-MI-012-H	60861-109-MI-242-H	60861-11-MI-105-H	60861-110-MI-386-H	60861-111-MI-355-H	60861-112-MI-192-H	60861-114-MI-088-H	60861-115-MI-346-H	60861-116-MI-060-H	60861-117-MI-085-H	60861-118-MI-339-H	60861-119-MI-187-H	60861-12-MI-113-H	60861-16-MI-058-H	60861-17-MI-326-H	60861-18-MI-369-H	60861-19-MI-176-H	60861-2-MI-374-H	60861-20-MI-118-H	60861-21-MI-275-H	60861-22-MI-287-H	60861-25-MI-404-H	60861-26-MI-421-H	60861-27-MI-459-H	60861-29-MI-269-H	60861-3-MI-360-H	60861-33-MI-022-H	60861-34-MI-228-H	60861-35-MI-025-H	60861-36-MI-201-H	60861-37-MI-037-H	60861-4-MI-073-H	60861-40-MI-281-H	60861-42-MI-099-H	60861-43-MI-261-H	60861-44-MI-038-H	60861-46-MI-082-H	60861-48-MI-009-H	60861-50-MI-440-H	60861-51-MI-353-H	60861-52-MI-112-H	60861-57-MI-147-H	60861-59-MI-165-H	60861-6-MI-289-H	60861-60-MI-322-H	60861-62-MI-295-H	60861-63-MI-257-H	60861-65-MI-224-H	60861-66-MI-285-H	60861-69-MI-252-H	60861-7-MI-406-H	60861-71-MI-003-H	60861-72-MI-068-H	60861-73-MI-103-H	60861-74-MI-243-H	60861-75-MI-373-H	60861-76-MI-156-H	60861-78-MI-069-H	60861-79-MI-023-H	60861-8-MI-235-H	60861-80-MI-043-H	60861-81-MI-291-H	60861-84-MI-227-H	60861-85-MI-158-H	60861-86-MI-359-H	60861-9-MI-324-H	60861-90-MI-168-H	60861-91-MI-116-H	60861-92-MI-179-H	60861-93-MI-273-H	60861-94-MI-307-H	60861-95-Mix-bacteriano	60861-97-MI-384-H	60861-98-MI-178-H	60861-99-MI-086-H
a0356d96332a551afb59df32ed35f497	4151.0	0.0	890.0	364.0	0.0	8984.0	140.0	1836.0	0.0	0.0	1155.0	0.0	184.0	1141.0	0.0	654.0	0.0	780.0	87.0	0.0	0.0	203.0	3661.0	2450.0	251.0	7466.0	2488.0	0.0	552.0	12089.0	2829.0	0.0	2059.0	1774.0	0.0	0.0	0.0	0.0	294.0	3629.0	346.0	0.0	0.0	157.0	2522.0	232.0	871.0	0.0	0.0	1010.0	1100.0	1481.0	774.0	1589.0	0.0	0.0	271.0	0.0	0.0	5361.0	415.0	763.0	99.0	9572.0	0.0	1740.0	0.0	65.0	106.0	7073.0	348.0	342.0	0.0	0.0	3758.0	3021.0	971.0	3300.0	137.0	0.0	0.0	3058.0	7361.0
9ffbcc27536747e8320523595551fe05	2892.0	0.0	0.0	5477.0	0.0	14309.0	0.0	0.0	3973.0	4278.0	0.0	0.0	0.0	17961.0	0.0	219.0	0.0	0.0	654.0	185.0	0.0	0.0	1354.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	257.0	0.0	3714.0	0.0	0.0	0.0	0.0	4750.0	0.0	0.0	9.0	0.0	10279.0	0.0	0.0	0.0	735.0	0.0	0.0	0.0	0.0	106.0	0.0	0.0	0.0	138.0	63.0	0.0	243.0	489.0	1035.0	779.0	1473.0	115.0	0.0	3319.0	0.0	373.0	0.0	833.0	0.0	906.0	0.0	0.0	0.0	0.0	245.0	4481.0	73.0	0.0	0.0	165.0	0.0
917914e1affb6ed587634b2f01270f7c	0.0	0.0	0.0	0.0	5473.0	0.0	0.0	0.0	0.0	0.0	627.0	660.0	271.0	0.0	0.0	0.0	0.0	4151.0	0.0	0.0	0.0	77.0	4106.0	0.0	33.0	0.0	229.0	0.0	4026.0	0.0	0.0	0.0	107.0	7342.0	0.0	1938.0	0.0	0.0	0.0	0.0	0.0	1346.0	0.0	2896.0	0.0	1109.0	3157.0	0.0	0.0	0.0	0.0	0.0	97.0	0.0	4290.0	0.0	1922.0	6406.0	8927.0	0.0	0.0	0.0	529.0	3244.0	819.0	170.0	0.0	976.0	229.0	409.0	858.0	0.0	0.0	0.0	8126.0	1367.0	604.0	1071.0	0.0	0.0	0.0	0.0	0.0
c32f84bbd7b3d1f159bbab8dd1bdc476	1320.0	0.0	0.0	67.0	0.0	5081.0	0.0	167.0	544.0	679.0	0.0	0.0	287.0	0.0	361.0	669.0	7973.0	0.0	0.0	0.0	0.0	0.0	4296.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	214.0	0.0	4673.0	0.0	0.0	0.0	4170.0	0.0	0.0	0.0	0.0	831.0	0.0	731.0	0.0	0.0	0.0	6194.0	0.0	4575.0	0.0	453.0	0.0	0.0	12768.0	0.0	366.0	4378.0	0.0	0.0	11354.0	0.0	0.0	0.0	0.0	701.0	0.0	0.0	0.0	0.0	0.0	0.0	441.0	225.0	141.0	0.0	2320.0	0.0	0.0	244.0	788.0
5a61618e507714f91d1176b778145662	341.0	0.0	0.0	0.0	0.0	0.0	477.0	1290.0	1420.0	0.0	0.0	0.0	4052.0	0.0	0.0	0.0	0.0	352.0	0.0	823.0	0.0	46.0	0.0	0.0	2594.0	564.0	0.0	0.0	209.0	0.0	0.0	0.0	3641.0	0.0	461.0	0.0	0.0	0.0	3093.0	0.0	355.0	740.0	0.0	55.0	0.0	0.0	0.0	173.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	2720.0	303.0	0.0	0.0	3382.0	0.0	0.0	9392.0	0.0	0.0	705.0	0.0	1628.0	0.0	0.0	57.0	1675.0	10644.0	0.0	290.0	47.0	3819.0	13592.0	440.0	0.0	0.0	0.0	0.0
9c813bd1c55eecb348aabc4e780fd647	0.0	8571.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3885.0	0.0	0.0	0.0	0.0	245.0	0.0	0.0	0.0	0.0	0.0	15417.0	0.0	0.0	3057.0	0.0	0.0	0.0	0.0	0.0	3822.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108.0	0.0	8274.0	0.0	0.0	0.0	0.0	0.0	105.0	8828.0	0.0	0.0	0.0	0.0	0.0	3019.0	0.0	0.0	0.0
c9ae14c5402241eeb51041c780a7b6e1	1848.0	0.0	433.0	184.0	0.0	3922.0	0.0	832.0	0.0	0.0	468.0	0.0	97.0	554.0	0.0	295.0	0.0	367.0	0.0	0.0	0.0	74.0	1627.0	1031.0	115.0	3055.0	1064.0	0.0	267.0	5315.0	1211.0	0.0	881.0	873.0	0.0	0.0	0.0	0.0	110.0	1564.0	167.0	0.0	0.0	65.0	969.0	107.0	412.0	0.0	0.0	485.0	479.0	644.0	346.0	678.0	0.0	0.0	125.0	0.0	0.0	2370.0	198.0	378.0	52.0	3967.0	0.0	732.0	0.0	0.0	0.0	2886.0	125.0	157.0	0.0	0.0	1620.0	1252.0	421.0	1384.0	59.0	0.0	0.0	1696.0	3143.0
477eebe07dcb86aecff94b99012aa3b8	3027.0	317.0	0.0	4789.0	194.0	0.0	0.0	1708.0	0.0	0.0	0.0	0.0	0.0	841.0	95.0	0.0	0.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	164.0	0.0	667.0	55.0	115.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1024.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15874.0	0.0	0.0	0.0	675.0	0.0	271.0	0.0	0.0	0.0	26.0	7853.0	0.0	0.0	1652.0	0.0	264.0	0.0	0.0	0.0	1683.0	3512.0	0.0	0.0	0.0	0.0	0.0	0.0	251.0	0.0	0.0	0.0	0.0	0.0	1229.0	0.0	0.0	3746.0
83269eb82c2a8c43a78eb206090008bf	7462.0	107.0	11595.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	373.0	0.0	4522.0	623.0	0.0	0.0	0.0	0.0	0.0	136.0	0.0	0.0	0.0	0.0	1099.0	777.0	0.0	697.0	0.0	0.0	0.0	0.0	0.0	0.0	2486.0	884.0	86.0	0.0	3346.0	545.0	0.0	0.0	2758.0	0.0	0.0	0.0	0.0	608.0	0.0	0.0	1075.0	0.0	1761.0	0.0	1779.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	250.0	273.0	0.0	53.0	0.0	2509.0	1084.0	260.0	0.0	0.0	0.0	0.0	0.0
91fdbdc46d50778fcf62b0f0ddb89686	1255.0	0.0	0.0	2232.0	0.0	6397.0	0.0	0.0	1807.0	1964.0	0.0	0.0	0.0	8541.0	0.0	103.0	0.0	0.0	324.0	85.0	0.0	0.0	582.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0	0.0	1612.0	0.0	0.0	0.0	0.0	1990.0	0.0	0.0	0.0	0.0	4585.0	0.0	0.0	0.0	316.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	87.0	202.0	424.0	380.0	677.0	45.0	0.0	1488.0	0.0	179.0	0.0	405.0	0.0	394.0	0.0	0.0	0.0	0.0	119.0	1992.0	44.0	0.0	0.0	108.0	0.0
